transaction_id,ozow_payment_id,merchant_reference,date,status,type,direction,amount,currency,category
local_txn_1001,ozow_20260825_ABC123,INV-2026-0001,2026-08-25T09:12:34Z,success,payment,inbound,1250.00,ZAR,Groceries
local_txn_1002_refund,ozow_20260712_DEF456_refund,INV-2026-0002,2026-08-01T10:00:00Z,refunded,refund,outbound,500.00,ZAR,Dining
local_txn_1003,ozow_20260820_XYZ789,INV-2026-0003,2026-08-20T08:45:00Z,success,payment,inbound,950.00,ZAR,Fuel
local_txn_1004,ozow_20260818_QWE456,INV-2026-0004,2026-08-18T12:10:00Z,success,payment,inbound,1200.00,ZAR,Utilities
local_txn_1005,ozow_20260815_ASD321,INV-2026-0005,2026-08-15T19:30:00Z,success,payment,inbound,600.00,ZAR,Entertainment
local_txn_1006,ozow_20260810_ZXC654,INV-2026-0006,2026-08-10T11:00:00Z,success,payment,inbound,400.00,ZAR,Telecoms
local_txn_1007,ozow_20260805_MNB987,INV-2026-0007,2026-08-05T07:50:00Z,success,payment,inbound,300.00,ZAR,Transport
local_txn_1008,ozow_20260802_HJK741,INV-2026-0008,2026-08-02T15:20:00Z,success,payment,inbound,850.00,ZAR,Retail
local_txn_1009,ozow_20260730_LPO852,INV-2026-0009,2026-07-30T09:40:00Z,success,payment,inbound,200.00,ZAR,Health
local_txn_1010,ozow_20260728_VBN963,INV-2026-0010,2026-07-28T16:05:00Z,success,payment,inbound,1800.00,ZAR,Insurance/Financial
local_txn_1011,ozow_20260725_CXZ159,INV-2026-0011,2026-07-25T08:00:00Z,success,payment,inbound,25000.00,ZAR,Salary/Income
local_txn_1012,ozow_20260722_QAZ753,INV-2026-0012,2026-07-22T13:15:00Z,success,payment,inbound,2000.00,ZAR,Savings/Investments
local_txn_1013,ozow_20260720_WER852,INV-2026-0013,2026-07-20T10:30:00Z,success,payment,inbound,1000.00,ZAR,Cash/ATM
local_txn_1014,ozow_20260718_TYU951,INV-2026-0014,2026-07-18T14:45:00Z,success,payment,inbound,750.00,ZAR,Uncategorized
local_txn_1015_refund,ozow_20260801_RET111_refund,INV-2026-0015,2026-08-01T11:20:00Z,refunded,refund,outbound,320.00,ZAR,Retail
local_txn_1016_salary,ozow_20260801_PAY222,INV-2026-0016,2026-08-01T07:00:00Z,success,payment,inbound,18000.00,ZAR,Salary/Income
local_txn_1017_dividend,ozow_20260805_DIV333,INV-2026-0017,2026-08-05T09:30:00Z,success,payment,inbound,450.00,ZAR,Savings/Investments
local_txn_1018_insurance_payout,ozow_20260807_INS444,INV-2026-0018,2026-08-07T10:15:00Z,success,payment,inbound,2200.00,ZAR,Insurance/Financial
local_txn_1019_cashback,ozow_20260809_CB555,INV-2026-0019,2026-08-09T18:00:00Z,success,payment,inbound,50.00,ZAR,Retail
local_txn_1020_reimbursement,ozow_20260811_REIM66,INV-2026-0020,2026-08-11T14:00:00Z,success,payment,inbound,150.00,ZAR,Health
local_txn_1021_refund_dining,ozow_20260812_DIN777_refund,INV-2026-0021,2026-08-12T20:10:00Z,refunded,refund,outbound,120.00,ZAR,Dining
local_txn_1022_refund_entertainment,ozow_20260813_ENT888_refund,INV-2026-0022,2026-08-13T21:30:00Z,refunded,refund,outbound,200.00,ZAR,Entertainment
local_txn_1023_payout, , ,2026-08-27T07:00:00Z,success,settlement,payout,1730.00,ZAR,Salary/Income
local_txn_1024_uncategorized_credit,ozow_20260814_UNC999,INV-2026-0024,2026-08-14T12:00:00Z,success,payment,inbound,75.00,ZAR,Uncategorized
local_txn_1025_cash_deposit,ozow_20260816_CASH10,INV-2026-0025,2026-08-16T09:00:00Z,success,payment,inbound,500.00,ZAR,Cash/ATM
local_txn_1026_refund_retail_large,ozow_20260817_RET121_refund,INV-2026-0026,2026-08-17T16:45:00Z,refunded,refund,outbound,1250.00,ZAR,Retail
local_txn_1027_salary_bonus,ozow_20260820_BONUS12,INV-2026-0027,2026-08-20T08:00:00Z,success,payment,inbound,5000.00,ZAR,Salary/Income
local_txn_1028_savings_interest,ozow_20260821_INT131,INV-2026-0028,2026-08-21T06:30:00Z,success,payment,inbound,35.00,ZAR,Savings/Investments
local_txn_1029_insurance_refund,ozow_20260822_INS141_refund,INV-2026-0029,2026-08-22T13:50:00Z,refunded,refund,outbound,300.00,ZAR,Insurance/Financial
local_txn_1030_uncategorized_refund,ozow_20260823_UNC151_refund,INV-2026-0030,2026-08-23T11:25:00Z,refunded,refund,outbound,60.00,ZAR,Uncategorized
